stimulus_presentations_id,diff,licked
25,3.49841926647241,True
87,3.511428225709719,True
109,3.5057532624910976,True
129,3.494343217841866,False
139,3.540943649712517,True
179,3.64860114629055,True
223,3.7524972106492265,True
256,3.8221101320523747,True
288,3.8927010387993026,True
312,3.936047633152881,True
334,3.96801517983949,True
371,4.012286207816586,True
385,4.0207006748514775,True
398,4.023631973227975,True
420,4.022234676539051,True
434,4.018738879359132,True
447,4.010064349602221,True
460,3.9986474072296563,True
510,3.904857227348979,True
527,3.8611739659124735,True
551,3.7760631036106047,True
562,3.736282735964296,True
572,3.7008054235544887,False
589,3.7049688339595352,True
674,3.672264714050322,True
688,3.6582413404796155,True
715,3.599807483987544,True
727,3.5667415831345854,True
738,3.528444303483848,False
751,3.5428135251297954,False
761,3.6142760746726537,True
773,3.6676195871692947,True
792,3.7435992440145025,True
828,3.860944766499269,True
838,3.8794238398016603,True
853,3.89867991814341,True
908,3.9641508434228454,True
927,3.9713048607183103,True
938,3.9684997119118144,True
949,3.9595099586210227,True
975,3.9207758084698776,True
998,3.8766744450482538,True
1022,3.8129599249095625,True
1057,3.7104602818767316,True
1107,3.557800935936616,True
1122,3.4947210837897043,False
1136,3.5027560887100875,False
1152,3.5913540054134048,True
1163,3.6243647742061484,True
1207,3.7555684023903786,True
1252,3.8608719326636014,True
1263,3.8699428658942523,True
1284,3.8766439069253495,True
1307,3.866218753677765,True
1337,3.826771651333487,False
1349,3.8688056504695574,True
1388,3.9318510750411617,True
1404,3.9359406808934185,True
1418,3.9241896943901526,True
1443,3.8754928589626685,True
1464,3.812383655384173,True
1489,3.7203063190288392,False
1516,3.7202317003681626,True
1571,3.6465015411107053,True
1590,3.5992833632852417,False
1600,3.6175768390257823,True
1615,3.6175260329541676,False
1677,3.996624807227702,True
1705,4.104185672193321,True
1717,4.127933645085289,True
1738,4.146678025099997,True
1749,4.1412510736521515,True
1776,4.098937339613825,True
1796,4.050675361063182,True
1813,4.011472013826304,False
1825,4.035361977440616,True
1943,4.194988925924097,True
1964,4.222186148525335,True
1983,4.243586884334839,True
1998,4.252453659914044,True
2042,4.266382137718861,True
2091,4.273128716009745,True
2101,4.272529420207754,True
2132,4.260962746682948,True
2164,4.2484542449307074,True
2177,4.241331969414808,True
2187,4.23177560395699,True
2199,4.213887422610434,True
2227,4.157646047381674,True
2238,4.13613461179621,True
2302,3.9935132522555707,True
2319,3.9548767751805665,True
2373,3.8239769071944862,True
2431,3.6590529439498534,True
2444,3.6212978162343084,True
2474,3.496034997024993,True
2484,3.465513561278528,True
2506,3.349856033249678,True
2569,3.0171573213088005,True
2617,2.7075422367057387,True
2641,2.506426538080742,False
2654,2.4393949793310754,False
2669,2.4215663050397076,False
2680,2.4448993608308305,False
2692,2.50966214092499,False
2714,2.7049069540882718,True
2727,2.7588007111523667,False
2738,2.873605632640218,True
2752,2.9533960437812037,False
2763,3.0942818972992328,True
2773,3.170115147003559,True
2809,3.4600924109478886,True
2822,3.538809942301302,True
2832,3.5837079815668917,True
2845,3.6288114534914744,True
2880,3.7542468016065436,True
2895,3.785341673514975,True
2906,3.7974279140874185,True
2917,3.799870385678032,True
2930,3.790930074590962,True
2945,3.7631735668661976,True
2955,3.7396416829512114,True
2987,3.6103789002740427,True
3009,3.502105876807877,False
3022,3.5024303119564086,False
3045,3.623795493600914,True
3075,3.7450717587732996,True
3090,3.7876751248142027,True
3104,3.8120121150837525,True
3125,3.8329896444594915,False
3167,4.121492956382171,True
3203,4.237267243566554,True
3229,4.3774217946110365,True
3239,4.4151335403526835,True
3251,4.456005470485785,True
3273,4.526195697065904,True
3285,4.5617876887983595,True
3297,4.587799459144107,True
3330,4.64494189421839,True
