,auc,evd,visual_index,timing_index,strategy_index,mouse_id,session_number,stage,behavior_session_id,aborted,false_alarms,max_dprimes,rewards
472,0.8355282569482678,-1109.9994256508216,25.731821784455448,6.882897801485154,18.84892398297029,576323,11,5_ready,1113535438,297,8,2.432655358787224,201
473,0.8880074658913686,-846.5290546761244,28.43653703910028,10.753501608488572,17.683035430611707,576323,10,5_ready,1112788916,215,7,2.36511137978098,156
474,0.8680413504448856,-778.3645772460368,38.54724010071357,6.76935924514052,31.77788085557305,576323,13,5_ready,1113985597,169,2,3.819685038997009,192
475,0.8543880660834704,-751.1581698067021,47.53148134764511,2.3247456423694746,45.206735705275634,576323,12,5_ready,1113795688,143,4,3.1398000372703336,198
476,0.8754173426134282,-772.8409917769386,40.92634311487055,6.773105898720432,34.15323721615012,576323,14,5_ready,1114219286,168,7,2.705255328295924,198
477,0.8190778643097099,-1319.8242503179135,15.797510467680596,11.009461553423344,4.788048914257255,576324,19,5_ready,1115944336,474,8,2.591065971730293,189
478,0.8494681905968697,-831.3603491543472,39.823866404188806,2.8206579926208137,37.00320841156799,576324,18,5_ready,1115679700,214,1,3.4824042760550054,202
479,0.8711805789409879,-846.746652782349,33.62612807883637,2.2650372650948625,31.361090813741512,578003,16,5_ready,1116938392,175,2,2.858487020464813,175
480,0.8943551963927436,-756.2888972612782,35.096280761913604,2.3168707001116817,32.779410061801926,578003,17,5_ready,1117129176,168,2,3.12510846963891,155
481,0.8994614223319533,-847.2390597698904,31.4775977968104,4.697541687979446,26.78005610883095,578003,18,5_ready,1117314622,219,4,2.588592996122599,162
482,0.8965342114773562,-752.5462260971617,19.56634859594318,12.127555944396793,7.438792651546388,579993,16,5_ready,1118822833,188,9,1.6448536269514722,129
483,0.7715016359181119,-616.8741047792573,2.2004563509513626,2.228872146185932,-0.0284157952345691,579993,31,5_ready,1123827395,94,1,1.2974154734061694,29
484,0.8840730227027473,-646.7968978757563,73.78356914349867,1.2977335220364776,72.48583562146219,579993,43,5_ready,1127239255,101,2,3.6958015095782137,235
