,auc,evd,visual_index,timing_index,strategy_index
1034887215,0.7793286345631791,-1723.6605022465956,3.2299944538275773,4.211439552649197,-0.9814450988216197
1034659380,0.8293636404035017,-1339.4590055206136,5.268902302858311,3.375075643513007,1.8938266593453035
1035085134,0.8520310520433456,-1199.0442859651012,4.195975709222436,8.6164568500212,-4.420481140798763
1032395078,0.804280787775522,-1164.1724836276117,6.306958907651616,3.3362566837961136,2.9707022238555023
1033405814,0.7720882003940823,-1080.2032744709213,6.399220405495138,5.0388901049365895,1.360330300558548
1033613829,0.857883694301314,-1050.1893780911923,5.507376838104023,14.746597455005448,-9.239220616901424
1033160344,0.7849885141359878,-1094.518618130067,11.406644125777857,3.9494202358549924,7.457223889922865
1042352531,0.8057520140434469,-1810.7896222522904,1.5637911969970557,12.291533257524415,-10.72774206052736
1042590922,0.8122664714136535,-1518.0358446007303,1.5962426247497066,9.977598784567393,-8.381356159817686
1042847275,0.8365376946247508,-828.5066177507397,1.8427235969740248,5.03502978500613,-3.1923061880321053
1043758309,0.7637071651090342,-1426.672896927863,3.5651027625202434,7.369476698498367,-3.804373935978124
1044600724,0.8013413049129192,-1402.6291158405002,1.4125971001925584,14.65480616864081,-13.242209068448252
1044996732,0.8103679606512467,-1667.4864698145248,2.4581002268331558,18.819285032714983,-16.361184805881827
1050926946,0.828634391196115,-1126.5871868297909,6.644893520736754,4.414248938589867,2.230644582146887
1051130808,0.8480259888690121,-975.6882005402003,7.917511152232158,8.29456438537018,-0.37705323313802186
1051338427,0.8556029750253947,-789.1468556151376,15.379232295380124,3.1546892611455477,12.224543034234577
1055609811,0.8303632220955055,-1773.74719978145,0.6112511003728233,26.54379720544516,-25.932546105072337
1056281961,0.8507619781783681,-1758.525577889799,0.14461780457818046,34.48853386797473,-34.34391606339655
1056115005,0.8506523081531461,-1687.9065223101716,0.7032510133157057,32.19871801296193,-31.495466999646226
1057606556,0.7587525389637356,-1803.6798748835427,4.725045520072309,6.434237707545332,-1.7091921874730227
1057886878,0.820156587509272,-1300.0925627486722,5.719508748631187,8.194673089289987,-2.4751643406588
1058174378,0.8154128185394219,-1103.125054801203,9.16776557678974,6.196966130816534,2.9707994459732063
1058698214,0.9169624260601518,-868.010103297398,4.886643701258543,22.090542208833806,-17.203898507575264
1059229994,0.7090088619684934,-877.453198171017,0.46384560729233815,3.162390383566737,-2.6985447762743986
