stimulus_presentations_id,diff,licked
7,0.6143911768292409,True
19,0.6114150560110847,True
53,0.5848622555255849,True
68,0.5634837648404729,True
81,0.541129796979317,True
91,0.5173682170107394,True
111,0.468129176262682,True
128,0.432918356701149,True
169,0.35005166453384406,True
179,0.3344838370759713,False
206,0.29774335245085126,True
232,0.24830091020760126,True
285,0.13967044261059636,True
296,0.12424290893478274,True
324,0.07631143735501222,True
359,0.011326241838866213,True
381,-0.034406176227645524,False
399,-0.07507492108661262,False
415,-0.1042018991775091,True
426,-0.12796090517238357,True
439,-0.15818628574565485,True
453,-0.1935702291518533,True
471,-0.24733596806297342,True
509,-0.35490609126497574,True
520,-0.38343261747045965,True
539,-0.4490381232138221,True
556,-0.4895485520379266,True
576,-0.5447523653968429,False
591,-0.5864889642326041,False
620,-0.6398166507288123,True
637,-0.6607759529308455,True
648,-0.6734363168993349,False
663,-0.6910212981089221,False
684,-0.6979254031524253,True
704,-0.7154631580900119,True
714,-0.7269004575186737,True
747,-0.7634994498134322,True
784,-0.806595235437952,False
794,-0.8173504642808882,True
849,-0.8578653163146042,False
860,-0.8515720371175797,True
881,-0.8512534789710497,True
902,-0.8558388463516509,False
915,-0.8546580152138401,True
925,-0.8579426327715209,True
935,-0.8624700122582718,True
952,-0.8703980443963348,True
975,-0.8889800763972291,False
992,-0.8939488594731926,True
1005,-0.897718584144164,True
1035,-0.9037464325856961,True
1045,-0.9088704592514025,True
1056,-0.9164665242993908,True
1083,-0.9384095445509653,True
1093,-0.9456469825285434,True
1103,-0.9540702793203835,True
1141,-0.9972421653859693,False
1176,-1.0678772237594982,False
1193,-1.087576879088663,False
1203,-1.0935179843878857,True
1224,-1.1076791724064154,False
1235,-1.1150167285746018,False
1245,-1.1221187669297517,True
1258,-1.1327764700016618,True
1268,-1.1416062734136712,True
1281,-1.1588277375822806,True
1291,-1.174892608475222,True
1361,-1.3074294505470316,True
1382,-1.3277251988731247,True
1411,-1.3516191977088514,True
1456,-1.396952580474471,True
1494,-1.449093967163286,False
1507,-1.459573207283483,False
1520,-1.4580260658597857,False
1553,-1.4446304671001078,False
1564,-1.4495309870373123,False
1588,-1.4581411573419716,True
1598,-1.4620917564565954,True
1627,-1.4665739588996536,True
1672,-1.4619183894151322,False
1692,-1.4310147106691569,False
1704,-1.4021769099710135,True
1715,-1.3764902267094012,False
1740,-1.3300134021704144,True
1755,-1.3086152817881438,True
1767,-1.29721931967383,False
1792,-1.2734873115475478,True
1852,-1.150529728442267,False
1863,-1.1124024964627228,True
1873,-1.0942449363268802,True
1883,-1.0757102068852618,True
1914,-1.0264102649815832,True
1953,-0.9626496351043512,True
2005,-0.8622777994534976,False
2044,-0.7550135431429095,True
2059,-0.7259571526303039,True
2073,-0.6998799788218115,False
2083,-0.6856511484189161,False
2093,-0.6652851389330976,True
2104,-0.6512585907580586,False
2118,-0.6495041604154055,True
2162,-0.6232005176409114,True
2196,-0.5751824598536899,True
2212,-0.5514293451944117,True
2240,-0.5128015242808766,True
2269,-0.4699065222052292,True
2299,-0.43059374765431047,True
2309,-0.41935840731045726,False
2346,-0.3499035873163576,False
2368,-0.30224577933591323,False
2408,-0.19683210884774027,True
2437,-0.12882691706159122,True
2448,-0.10171431882224491,True
2470,-0.054803197989284236,True
2495,0.012789695291295367,True
2508,0.05365322943509643,True
2521,0.08773678355069414,True
2548,0.17851049423299448,True
2563,0.22564397185015084,False
2602,0.3277327525920841,True
2628,0.3703761032612056,False
2753,0.5542438500379727,False
2770,0.5471701655263921,True
2791,0.5208012008674294,True
2806,0.4987135047008102,True
2829,0.4657817818351573,True
2874,0.4161245212432605,True
2884,0.39906816005431756,True
2912,0.3523142602535998,True
2935,0.31024641599233815,True
2962,0.2675782116884484,True
2992,0.21742543205799514,False
3007,0.19799832371887582,True
3026,0.1747005701652622,True
3063,0.12955457087604128,True
3084,0.10914584469792032,False
3113,0.10079086015398087,True
3126,0.09235251304358982,True
3144,0.08696058921093064,True
3172,0.06547718073555941,True
3189,0.0532918640151987,True
3203,0.04340700181826218,True
3233,0.022263190674766342,True
3261,-0.011067307702585794,True
3294,-0.06551518580591065,False
3311,-0.09672665958096127,False
3322,-0.10372978267594002,True
3342,-0.11963530374676523,True
3352,-0.12631428397413957,True
3384,-0.16428981153103273,True
3394,-0.183063175698158,True
3412,-0.21650989801462472,True
3460,-0.26558647360125587,True
3479,-0.28638146189823654,False
3492,-0.2961556322176344,True
3516,-0.30045193795693637,True
3532,-0.29445621425964674,True
3542,-0.29539620257307764,False
3559,-0.2943358018665636,True
3576,-0.28914294088556547,True
3636,-0.27047985094722016,True
3670,-0.2317968688375842,False
3683,-0.2296686540279964,True
3698,-0.2400756678168503,True
3714,-0.24517989193482004,True
3732,-0.2530993282808569,True
3756,-0.25942584303153327,True
3777,-0.26043369385921,False
3789,-0.26411698884654955,True
3812,-0.27316546453516555,False
3858,-0.24506868786724123,True
3877,-0.23798955405395938,True
3895,-0.2284928886803561,True
3912,-0.2119558110096018,True
3947,-0.1844398958514808,True
3962,-0.17707109895537254,True
3977,-0.16538184539538925,True
3990,-0.16108021895593572,False
4017,-0.1948687226874548,False
4049,-0.18658563220183177,True
4066,-0.1730003571266039,True
4080,-0.17680673953009052,True
4130,-0.1523480792329157,True
4163,-0.14306498774635124,True
4202,-0.1254645608177647,True
4212,-0.12711397727329743,True
4224,-0.13495504759694077,True
4242,-0.14780353303939364,True
4286,-0.18538257870866204,False
4319,-0.14456850892675233,True
4358,-0.11565431413694727,True
4406,-0.04951432830330971,True
4416,-0.04617893932034489,True
4436,-0.0422296520020482,True
4464,-0.01839905388406793,True
4478,-0.0047727767248026964,True
4492,0.011377100546356544,True
4506,0.02338141505639424,True
4522,0.029086208906071942,True
4533,0.02897837983710172,True
4558,0.0028354041952134423,True
4579,-0.013761225101577068,True
4592,-0.021158508623116745,True
4637,-0.0428918461568113,True
4682,-0.07910467551006217,False
4692,-0.07595831650406293,True
4725,-0.07259760391970671,True
4736,-0.07419718085206517,True
4774,-0.0862800233189871,True
4799,-0.09460612792856082,True
